time,x,ema_signal,fir_signal
15.25,2160.0,2160.106255006111,2160.6516097705903
15.28125,2158.0,2159.168971528392,2160.6536401147455
15.3125,2159.0,2159.093779198258,2160.6965277437603
15.34375,2160.0,2159.497047455033,2160.7489698126315
15.375,2158.0,2158.8308613375434,2160.7521587891442
15.40625,2160.0,2159.3511280423368,2160.6530718885715
15.4375,2159.0,2159.194876063497,2160.438907489111
15.46875,2160.0,2159.553156215241,2160.136602785125
15.5,2158.0,2158.8620016994587,2159.804688754757
15.53125,2160.0,2159.3684109432,2159.507374671377
15.5625,2161.0,2160.094468073476,2159.2925171279576
15.59375,2160.0,2160.052429780779,2159.171607513467
15.625,2157.0,2158.6940985283327,2159.127283340971
15.65625,2158.0,2158.385224683225,2159.141542320813
15.6875,2160.0,2159.10379969919,2159.2070366682215
15.71875,2160.0,2159.5026088330505,2159.3077854015464
15.75,2158.0,2158.8339479023434,2159.407908195738
15.78125,2158.0,2158.4628410858004,2159.4665985069983
15.8125,2160.0,2159.14687680262,2159.458711625702
15.84375,2159.0,2159.081516625454,2159.380279548159
15.875,2153.0,2156.375241727127,2159.246911821405
15.90625,2157.0,2156.653259158556,2159.1033501336187
15.9375,2157.0,2156.8075588329984,2159.0013762623244
15.96875,2158.0,2157.3381951523143,2158.9445918891706
16.0,2156.0,2156.7426983095343,2158.880754397858
16.03125,2158.0,2157.302197561792,2158.7299602591283
16.0625,2159.0,2158.0577196467943,2158.4376108421025
16.09375,2153.0,2155.807034403971,2158.0099516588116
16.125,2157.0,2156.337904094204,2157.5352795884223
16.15625,2158.0,2157.077536772284,2157.1468778516128
16.1875,2157.0,2157.043032908617,2156.930498373532
16.21875,2155.0,2156.1338832642828,2156.87994444566
16.25,2155.0,2155.629305211677,2156.9234043070987
16.28125,2154.0,2154.904264392481,2156.9767446225283
16.3125,2157.0,2155.8368667378268,2156.9799872552735
16.34375,2151.0,2153.6844610394937,2156.9078486628014
16.375,2150.0,2152.044875876919,2156.7693642639133
16.40625,2154.0,2152.91490611169,2156.597992573016
16.4375,2155.0,2153.842772891988,2156.3979527288107
16.46875,2152.0,2153.022738955053,2156.115769424773
16.5,2153.0,2153.012620120054,2155.696227147199
16.53125,2156.0,2154.3420041666304,2155.136076507315
16.5625,2151.0,2152.85481231248,2154.490669381193
16.59375,2153.0,2152.9194208334266,2153.8620345742615
16.625,2155.0,2153.845278562552,2153.3720323149714
16.65625,2149.0,2151.6891296022163,2153.0971442504188
16.6875,2155.0,2153.16246692923,2153.0328182936423
16.71875,2150.0,2151.7551691457224,2153.1159074311195
16.75,2151.0,2151.419118875876,2153.247822889004
16.78125,2150.0,2150.787610976111,2153.3352489767067
16.8125,2154.0,2152.2171240917414,2153.3161891653467
16.84375,2149.0,2150.7855038709167,2153.172074147854
16.875,2148.0,2149.545954648359,2152.9204666711657
16.90625,2153.0,2151.0830048298394,2152.610498668979
16.9375,2156.0,2153.271067680561,2152.277780362379
16.96875,2154.0,2153.5954425627115,2151.9272206810624
17.0,2149.0,2151.550470622305,2151.5679970408364
17.03125,2149.0,2150.415511195379,2151.246151090464
17.0625,2151.0,2150.6756087134354,2151.0415656542677
17.09375,2160.0,2154.8249628359567,2151.0286267954843
17.125,2148.0,2151.787854373956,2151.2105448811644
17.15625,2148.0,2150.1022591775454,2151.49781586653
17.1875,2151.0,2150.5017538435377,2151.786871875002
17.21875,2154.0,2152.058473383164,2152.0006895793717
17.25,2150.0,2151.142452727656,2152.0906183137276
17.28125,2146.0,2148.854061263849,2152.0563146874506
17.3125,2150.0,2149.364004001436,2151.9398787279288
17.34375,2148.0,2148.757022220797,2151.7900490291563
17.375,2147.0,2147.9751473325423,2151.6244849956
17.40625,2150.0,2148.876206769561,2151.4272940218334
17.4375,2147.0,2148.0412947571062,2151.150651325773
17.46875,2150.0,2148.912918590194,2150.75486009088
17.5,2146.0,2147.616669817557,2150.2579339347058
17.53125,2149.0,2148.2322517487446,2149.724764035994
17.5625,2145.0,2146.7938997205533,2149.2277279086957
17.59375,2148.0,2147.330614344907,2148.8141811404726
17.625,2141.0,2144.5134909614235,2148.5120329379556
17.65625,2147.0,2145.61998748359,2148.3292840233084
17.6875,2150.0,2147.5690930533924,2148.2416518918735
17.71875,2145.0,2146.4258466446327,2148.1408845911933
17.75,2145.0,2145.791344887771,2147.906183073169
17.78125,2144.0,2144.994196412713,2147.510578496391
17.8125,2146.0,2145.441779009056,2147.031404802277
17.84375,2141.0,2143.465187350026,2146.5860903895723
17.875,2141.0,2142.3681789792645,2146.2652529062993
17.90625,2145.0,2143.539339333492,2146.103912467672
17.9375,2139.0,2141.519333330088,2146.04186926182
17.96875,2144.0,2142.6232299981984,2145.9470503514644
18.0,2141.0,2141.900892649,2145.695876665494
18.03125,2144.0,2142.834995420195,2145.2231753938654
18.0625,2146.0,2144.243422458208,2144.5618955856935
18.09375,2145.0,2144.580099464305,2143.814685530373
18.125,2141.0,2142.9869552026894,2143.116313164052
18.15625,2140.0,2141.6577601374925,2142.594647830241
18.1875,2144.0,2142.7000568763083,2142.3430177687464
18.21875,2142.0,2142.388531566351,2142.3762205767916
18.25,2139.0,2140.880635019325,2142.627264793193
18.28125,2141.0,2140.933752435725,2142.9747643838123
18.3125,2141.0,2140.963232601828,2143.2626196864526
18.34375,2142.0,2141.424594094014,2143.3541656122725
18.375,2142.0,2141.680649722178,2143.1887938809955
18.40625,2143.0,2142.267760595809,2142.799464281486
18.4375,2140.0,2141.2586071306737,2142.2848104760324
18.46875,2141.0,2141.143526957524,2141.7761168031493
18.5,2139.0,2140.1896574614257,2141.4000268356863
18.53125,2138.0,2139.215259891091,2141.218405345363
18.5625,2141.0,2140.0094692395555,2141.2229003596867
18.59375,2142.0,2140.895255427953,2141.336050042339
18.625,2141.0,2140.941866762514,2141.4364737550686
18.65625,2139.0,2140.077736053195,2141.414122621872
18.6875,2143.0,2141.3781435095234,2141.219333551615
18.71875,2139.0,2140.3198696477857,2140.883432711887
18.75,2139.0,2139.732527654521,2140.5116563388133
18.78125,2141.0,2140.296552848259,2140.247063226496
18.8125,2142.0,2141.054586830784,2140.1765779810044
18.84375,2143.0,2141.920295691085,2140.274550091381
18.875,2138.0,2140.1757641085524,2140.4349517868095
18.90625,2138.0,2139.2075490802463,2140.5510937428066
18.9375,2138.0,2138.670189739537,2140.587130698213
18.96875,2141.0,2139.706955305443,2140.579166662523
19.0,2138.0,2138.947360194521,2140.580109419759
19.03125,2141.0,2139.860784907959,2140.5971518839556
19.0625,2138.0,2139.032735623917,2140.5822396884537
19.09375,2139.0,2139.018168271274,2140.462849136538
19.125,2135.0,2137.230083390557,2140.2066206727823
19.15625,2143.0,2139.79769628176,2139.8622818412678
19.1875,2141.0,2140.332721436376,2139.5261290033727
19.21875,2139.0,2139.739660397189,2139.2640199633315
19.25,2137.0,2138.52051152044,2139.0932598489712
19.28125,2137.0,2137.843883893844,2139.0049372355484
19.3125,2138.0,2137.913355561084,2138.9809062112454
19.34375,2135.0,2136.616912336401,2139.006476903718
19.375,2135.0,2135.8973863467027,2139.0741597786723
19.40625,2140.0,2137.72304942242,2139.1609890762493
19.4375,2137.0,2137.401292429443,2139.194600147409
